"","University","Department","Overall Pay","LW Ratio","Academic Year","Program Year","12 M Gross Pay","9 M Gross Pay","3 M Gross Pay","Fees","Comments","dept"
"7545","Georgia Institute of Technology (Georgia Tech)","Mechanical Engineering",23700,1.02,"2018-2019","3rd","$26,400",NA,NA,"$2,700",NA,"mechanical engineering"
"7546","Virginia Tech","Biological Sciences",23900,1.13,"2018-2019","3rd","$24,600",NA,NA,"$700",NA,"biology"
"7547","Northwestern University (NU)","African American Studies",35850,1.48,"2018-2019","2nd","$36,000",NA,NA,"$150",NA,"american studies"
"7548","University of Wisconsin - Madison (UW)","Sociology",18800,0.82,"2018-2019","2nd","$20,000",NA,NA,"$1,200",NA,"sociology"
"7549","University of North Carolina - Greensboro (UNCG)","Nursing",18000,0.84,"2018-2019","1st",NA,"$20,000",NA,"$2,000",NA,"nursing"
"7550","Loyola University Chicago (LUC)","IPBS",28800,1.19,"2018-2019","1st","$30,000",NA,NA,"$1,200",NA,"ipbs"
"7551","Thomas Jefferson University","Biological Sciences",30172,1.25,"2019-2020","1st","$30,172",NA,NA,NA,NA,"biology"
"7552","University of Chicago (UC)","Psychology",29662,1.22,"2019-2020","1st","$31,000",NA,NA,"$1,338","+$27,000 for ""Stipend""
+$4,000 for ""Summer Grant""
-$1,338 for ""Student Services Fee""","psychology"
"7553","Louisiana State University - Baton Rouge","Chemistry",17400,0.8,"2018-2019","3rd","$25,200",NA,NA,"$7,800",NA,"chemistry"
"7554","Southern Methodist University (SMU)","Clinical Psychology",18500,0.86,"2019-2020","3rd","$18,500",NA,NA,NA,"Tuition and fees paid, plus stipend guaranteed for five years. Research or teaching assistantship required. Additional money given to cover health insurance.","psychology"
"7555","Indiana University","History and Philosophy of Science and Medicine",14427,0.67,"2018-2019","5th",NA,"$15,750",NA,"$1,323","Haven't had a raise yet, but fees have gone up every year","history"
"7556","Wayne State University","Psychiatry and Behavioral Neurosciences",28000,1.34,"2018-2019","2nd","$28,000",NA,NA,NA,NA,"neuroscience"
"7557","Temple University (TU)","Psychology",26100,1.08,"2019-2020","1st",NA,"$19,739","$6,561","$200","$200 Student Activities Fee","psychology"
"7558","Trinity College Dublin","Trinity College Institute of Neuroscience",17982,NA,"2018-2019","2nd","$17,982",NA,NA,NA,"This stipend is tax-free in Ireland. In addition to this stipend, a yearly research budget of 2,250 is provided.","neuroscience"
"7559","Boston University (BU)","Psychology (Brain, Behavior, and Cognition)",35010,1.22,"2019-2020","1st","$35,010",NA,NA,NA,NA,"psychology"
"7560","Virginia Commonwealth University (VCU)","Pharmacology",27000,1.09,"2019-2020","1st","$27,000",NA,NA,NA,NA,"pharmaceutical science"
"7561","Virginia Tech","Electrical and Computer Engineering",23540,1.12,"2018-2019","2nd","$26,040",NA,NA,"$2,500",NA,"electrical engineering"
"7562","University of Hawaii - Manoa (UH)","Physics",20197,0.66,"2018-2019","1st",NA,"$14,197","$6,000",NA,NA,"physics"
"7563","University of Hawaii - Manoa (UH)","Physics",20193,0.66,"2018-2019","1st",NA,"$14,193","$6,000",NA,NA,"physics"
"7564","University of Hawaii - Manoa (UH)","Physics",18930,0.62,"2018-2019","1st",NA,"$18,930",NA,NA,NA,"physics"
"7565","University of Central Florida (UCF)","Burnett School of Biomedical Sciences",21000,0.91,"2018-2019","1st","$24,000",NA,NA,"$3,000",NA,"biomed"
"7566","Southern Methodist University (SMU)","English",31008,1.44,"2018-2019","1st","$31,008",NA,NA,NA,NA,"english"
"7567","Indiana University","Learning Sciences",16924,0.78,"2019-2020","1st","$18,324",NA,NA,"$1,400",NA,"learning sciences"
"7568","University of Virginia (UVA)","Biomedical Engineering",32000,1.4,"2019-2020","1st","$32,000",NA,NA,NA,NA,"biomed"
"7569","Columbia University (CU)","Sociology",32972,1.11,"2018-2019","1st",NA,"$29,350","$3,772","$150",NA,"sociology"
"7570","University of Tennessee - Knoxville","Materials Science and Engineering",27000,1.27,"2018-2019","4th","$30,000",NA,NA,"$3,000","I have a fellowship, base stipend is 25,000 for my department","material science"
"7571","University of Pennsylvania","electrical engineering",35000,1.45,"2018-2019",NA,"$35,000",NA,NA,NA,NA,"electrical engineering"
"7572","University of California - San Francisco (UCSF)","Bms",38000,1.27,"2018-2019","2nd","$38,000",NA,NA,NA,"Sf very expensive","bms"
"7573","Arizona State University (ASU)","Physics",15000,0.68,"2018-2019",NA,"$15,000",NA,NA,NA,NA,"physics"
"7574","Auburn University (AU)","Mathematics",13393,0.62,"2019-2020","1st",NA,"$14,040",NA,"$647",NA,"mathematics"
"7575","Stanford University (SU)","Linguistics",42180,1.47,"2019-2020","1st","$42,180",NA,NA,NA,NA,"linguistics"
"7576","University of Washington (UW)","economics",21069,0.91,"2018-2019","3rd",NA,"$21,069",NA,NA,NA,"economics"
"7577","North Carolina State University (NCSU)","Psychology",18000,0.79,"2019-2020","1st","$18,000",NA,NA,NA,"Tuition and health insurance are waived and covered and stipend comes from a RA position","psychology"
"7578","Rochester Institute of Technology (RIT)","Microsystems Engineering",27500,1.29,"2018-2019","2nd",NA,"$20,000","$7,500",NA,NA,"microsystems engineering"
"7579","Michigan State University (MSU)","Computer Science and Engineering",31000,1.51,"2016-2017","6th and up","$32,000",NA,NA,"$1,000",NA,"computer science"
"7580","Duke University (DU)","Biomedical Engineering",31800,1.43,"2019-2020","1st","$31,800",NA,NA,NA,NA,"biomed"
"7581","University of Michigan - Ann Arbor (UM)","Pharmacology",31482,1.36,"2018-2019","2nd","$31,632",NA,NA,"$150",NA,"pharmaceutical science"
"7582","University of Hawaii - Manoa (UH)","Physics",15700,0.52,"2018-2019","1st",NA,"$15,700",NA,NA,NA,"physics"
"7583","Ohio State University (OSU)","Psychology",26314,1.31,"2019-2020","1st","$26,314",NA,NA,NA,"Fellowship salary for first and last years of the program. Salary will go down for the middle 3 years.","psychology"
"7584","Duke University (DU)","MSTP",31647,1.42,"2018-2019","1st","$31,747",NA,NA,"$100",NA,"medical science"
"7585","Duke University (DU)","MSTP",31647,1.42,"2018-2019","1st","$31,747",NA,NA,"$100",NA,"medical science"
"7586","University of Nevada - Reno (UNR)","Biology",25000,1.19,"2018-2019","1st","$25,000",NA,NA,NA,NA,"biology"
"7587","University of Alberta","Earth and Atmospheric Sciences",18380,NA,"2018-2019","1st","$24,000",NA,NA,"$5,620",NA,"earth science"
"7588","University of Alberta","Earth and Atmospheric Sciences",32208,NA,"2018-2019","1st","$24,000",NA,NA,"$56,208",NA,"earth science"
"7589","University of Southern Mississippi (USM)","creative writing",12000,0.56,"2018-2019","1st","$12,000",NA,NA,NA,NA,"creative writing"
"7590","University of Maine","Communications",34000,1.58,"2019-2020","1st","$34,000",NA,NA,NA,NA,"communication"
"7591","University of Texas - Dallas (UTD)","Electrical Engineering",23400,1.08,"2018-2019","2nd","$23,400",NA,NA,NA,"$1950 per month after passing Qualifying Exam and $1850 before QE.","electrical engineering"
"7592","Tufts University (TU)","Civil & Environmental Engineering",37400,1.34,"2019-2020","1st","$37,400",NA,NA,NA,"health insurance included","environment"
"7593","Temple University (TU)","Chemistry",26200,1.09,"2018-2019","1st","$26,500",NA,NA,"$300",NA,"chemistry"
"7594","Cornell University (CU)","Chemistry",35424,1.46,"2018-2019","2nd","$35,514",NA,NA,"$90",NA,"chemistry"
"7595","Temple University (TU)","mechanical engineering",25614,1.06,"2018-2019","1st",NA,"$19,211","$6,403",NA,NA,"mechanical engineering"
"7596","University of Oklahoma Health Sciences Center","GPiBS",26000,1.29,"2019-2020","1st","$26,000",NA,NA,NA,NA,"gpibs"
"7597","University of Oklahoma Health Sciences Center","Pharmaceutical Sciences",26000,1.29,"2018-2019","4th","$26,000",NA,NA,NA,"Healthcare premiums also covered.","pharmaceutical science"
"7598","University of North Carolina - Chapel Hill (UNC)","Economics",23700,1.07,"2019-2020","1st",NA,"$15,700","$8,000",NA,NA,"economics"
"7599","Yale University (YU)","Physics",40000,-1.62,"2018-2019",NA,NA,NA,NA,"$40,000",NA,"physics"
"7600","Southern Methodist University (SMU)","History",20000,0.93,"2019-2020","1st",NA,"$20,000",NA,NA,NA,"history"
"7601","University of Colorado - Boulder (UCB)","Aerospace engineering sciences",30750,1.21,"2018-2019","1st","$33,750",NA,NA,"$3,000",NA,"aerospace"
"7602","University of Rochester (UR)","The Institute of Optics",33980,1.59,"2017-2018","5th","$34,000",NA,NA,"$20","NSF Graduate Research Fellowship","the institute of optics"
"7603","University of Kansas Medical Center (KUMC)","Microbiology, Molecular Genetics & Immunology",27000,NA,"2018-2019","1st","$27,000",NA,NA,NA,"+ full tuition waiver","biology"
"7604","University of Kansas Medical Center (KUMC)","Microbiology, Molecular Genetics & Immunology",27000,NA,"2018-2019","1st","$27,000",NA,NA,NA,NA,"biology"
"7605","University of South Florida (UCF)","Cancer Biology",24128,1.1,"2019-2020","1st","$28,000",NA,NA,"$3,872",NA,"biology"
"7606","University of Pennsylvania","Epidemiology and Biostatistics",34000,1.41,"2019-2020",NA,"$34,000",NA,NA,NA,NA,"epidemiology"
"7607","Cornell University (CU)","Political Sciencd",31000,1.28,"2018-2019","1st","$31,000",NA,NA,NA,NA,"political science"
"7608","University of Colorado - Boulder (UCB)","Sociology",22000,0.86,"2018-2019","1st",NA,"$21,000","$3,000","$2,000",NA,"sociology"
"7609","University of Chicago (UC)","Biological Sciences Division",29475,1.21,"2018-2019",NA,"$31,000",NA,NA,"$1,525","Health insurance ($5000/year premium) is also counted as income tax. Required fees are from student life fees.","biology"
"7610","New York University (NYU)","Social Work",30000,1.01,"2018-2019","4th",NA,"$30,000",NA,NA,NA,"sociology"
"7611","University of Maryland - College Park (UMD)","Biochemistry",27200,0.9,"2018-2019","1st","$28,000",NA,NA,"$800",NA,"chemistry"
"7612","University of Southern California (USC)","Electrical Engineering",32000,1.24,"2019-2020",NA,NA,"$32,000",NA,NA,NA,"electrical engineering"
"7613","Walden University","Business",12000,0.52,"2018-2019","3rd","$12,000",NA,NA,NA,NA,"business"
"7614","University of Michigan - Ann Arbor (UM)","Ross School of Business",31626,1.37,"2019-2020","1st",NA,"$31,626",NA,NA,NA,"business"
"7615","University of Hawaii - Manoa (UH)","DRB",20550,0.67,"2019-2020","1st","$21,000",NA,NA,"$450",NA,"drb"
"7616","Western Michigan University (WMU)","Chemistry",14750,0.73,"2018-2019","3rd",NA,"$12,500","$3,000","$750","Heavy registration fees per semester. One benefit, workmans comp. Expect to occasionally buy your own supplies.  Union is obsolete. One serious medical incident or car bill away from poverty at all times.","chemistry"
"7617","University of Tennessee - Knoxville","Psychology",14000,0.66,"2018-2019",NA,NA,"$14,000",NA,NA,NA,"psychology"
"7618","University of Southern California (USC)","Epidemiology",32000,1.24,"2018-2019","2nd","$32,000",NA,NA,NA,NA,"epidemiology"
"7619","University of Notre Dame (ND)","Biophysics",30200,1.48,"2018-2019","1st","$30,200",NA,NA,NA,NA,"physics"
"7620","University of North Carolina - Chapel Hill (UNC)","Public Policy",34000,1.53,"2018-2019","2nd","$34,000",NA,NA,NA,"NSF GRFP fellowship. I have been told that the graduate school policy is to not allow compensation above the NSF GRFP stipend, though research travel funds or research supply funds could be sought in addition to the maximum stipend.","political science"
"7621","Scripps Research Institute (SRI)","Immunology",33000,1.25,"2018-2019","2nd","$33,000",NA,NA,NA,NA,"imnunology"
"7622","University of Texas - San Antonio (UTSA)","Information Technology and Cyber Security",25000,1.2,"2019-2020","1st","$25,000",NA,NA,NA,NA,"information science"
"7623","Brandeis University","Physics",30000,1.07,"2019-2020","1st","$30,000",NA,NA,NA,NA,"physics"
"7624","University of Wisconsin - Madison (UW)","Mechanical Engineering",25400,1.11,"2019-2020","1st","$27,000",NA,NA,"$1,600","Fellowship","mechanical engineering"
"7625","Oklahoma State University (OSU)","Statistics",20560,1.06,"2019-2020","1st",NA,"$20,560",NA,NA,NA,"statistics"
"7626","Ohio State University (OSU)","College of Veterinary Medicine",16300,0.81,"2019-2020","1st",NA,"$17,050",NA,"$750",NA,"college of veterinary medicine"
"7627","Massachusetts Institute of Technology (MIT)","EECS",41000,1.47,"2019-2020","1st","$41,000",NA,NA,NA,NA,"computer science"
"7628","Pennsylvania State University (Penn State)","Sociology",23150,1.03,"2019-2020",NA,"$23,150",NA,NA,NA,NA,"sociology"
"7629","Georgia Institute of Technology (Georgia Tech)","Biomedical Engineering",41000,1.76,"2018-2019","1st","$41,000",NA,NA,NA,"NSF GRFP + $5,000 Centennial Scholar + $2,000 topper funds","biomed"
"7630","incheon  national university","Electronics",12000,NA,"2018-2019","1st","$12,000",NA,NA,NA,NA,"electronics"
"7631","University of Maryland - College Park (UMD)","Government and Politics",17126,0.57,"2018-2019","2nd",NA,"$17,926",NA,"$800",NA,"political science"
"7632","Michigan State University (MSU)","Department of Kinesiology",24000,1.17,"2019-2020","1st",NA,"$24,000",NA,NA,NA,"kinesiology"
"7633","University of Maryland - College Park (UMD)","Biology - NACS",28000,0.93,"2018-2019","1st","$28,000",NA,NA,NA,NA,"biology"
"7634","University of Toronto Rotman School of Management","Management",28500,NA,"2018-2019","1st","$28,500",NA,NA,NA,"Value in Canadian dollars. Scholarships are not taxed by the Province of Ontario or the Canadian federal government.","management"
"7635","Brown University","Neuroscience",35035,1.54,"2019-2020","1st","$35,035",NA,NA,NA,NA,"neuroscience"
"7636","Ohio State University (OSU)","Decision Psychology",23300,1.16,"2018-2019","1st","$25,000",NA,NA,"$1,700",NA,"psychology"
"7637","University of Pittsburgh","Mechanical Engineering",23600,1.14,"2017-2018","1st","$26,000",NA,NA,"$2,400","Payed about $2,400 in taxes. Tuition covered by department and/or research.  Health insurance included. Stipend changed by semester (appointment changed), but averaged to ~$26,000","mechanical engineering"
"7638","University of Arizona (U of A)","Anthropology",18100,0.87,"2018-2019","1st",NA,"$18,500",NA,"$400",NA,"anthropology"
"7639","Yale University (YU)","sociology",32000,1.29,"2018-2019","3rd","$32,000",NA,NA,NA,NA,"sociology"
"7640","Stony Brook University - SUNY","Biomedical Engineering",27200,0.97,"2018-2019","1st","$29,000",NA,NA,"$1,800",NA,"biomed"
"7641","University of Southern California (USC)","Urban Education Policy",32000,1.24,"2018-2019","1st","$32,000",NA,NA,NA,"12-month stipend with health insurance covered; guaranteed for four years. Fifth year funding readily available if needed.","education"
"7642","University of Notre Dame (ND)","Computer Science and Engineering",31128,1.52,"2018-2019","1st","$31,128",NA,NA,NA,NA,"computer science"
"7643","University of Wisconsin - Madison (UW)","Economics",21500,0.94,"2019-2020","1st",NA,"$21,500",NA,NA,NA,"economics"
"7644","University of California - Berkeley","Sociology",35500,1.28,"2018-2019","1st","$35,500",NA,NA,NA,"Received University fellowship, which is $13,000 each semester and then $4,500 for the summer. Also received $5,000 summer GSR. Funding drops to between $30,500 and $33,500 (some years with travel funding, others without) for the next 3 years.","sociology"
"7645","University of Massachusetts - Amherst (UMass)","Management",23806,1.04,"2019-2020","1st",NA,"$23,506","$2,300","$2,000",NA,"management"
"7646","Stony Brook University - SUNY","Physics and Astronomy",30445,1.09,"2017-2018",NA,"$31,899",NA,NA,"$1,454",NA,"physics"
"7647","University of Pittsburgh","Bioengineering",30000,1.45,"2018-2019","1st","$30,000",NA,NA,NA,"$30,000 annually + tuition waiver + free health insurance (can pay for upgrade to a family plan), option to pay for dental and vision","biology"
"7648","University of California - Santa Cruz","Psychology",19711,0.73,"2018-2019","2nd",NA,"$20,611",NA,"$900","Monthly take home pay for TAship is about $2000 before enrollment fees ($300/quarter, ceases after advancing to candidacy). Very much worth unothing that in the area it is $850 - $1200 for a bedroom in a shared house/apartment, ~$1500 for a studio, 2k+ for a one-bedroom apartment. University housing is considered a good deal at $1100+no utilities for a bedroom in a four-person apartment and is in high demand. Rent is expected to continue going up due to increasing undergraduate enrollment and a shortage of university dorms severely impacting the local housing market, but TAship pay will only increase 2% per year due to the union contract being negotiated at the entire UC level. That said, the fact that there even is an active union is something.","psychology"
"7649","University of North Carolina - Chapel Hill (UNC)","strategy",28000,1.26,"2018-2019","3rd",NA,"$25,000","$5,000","$2,000",NA,"strategy"
"7650","Virginia Tech","Fish and Wildlife",18500,0.88,"2018-2019","2nd","$21,000",NA,NA,"$2,500",NA,"fish and wildlife"
"7651","University of Missouri (MU)","Plant Sciences",24500,1.19,"2019-2020","1st","$24,500",NA,NA,NA,NA,"algruiculture"
"7652","University of Texas Medical Branch - Galveston","Pharmacology & Toxicology",31000,1.42,"2019-2020","1st","$31,000",NA,NA,NA,"Yearly stipend of $31,000 with potential to go higher if we successfully acquire extramural funding.","pharmaceutical science"
"7653","University of California - Davis (UCD)","Biomedical Engineering",27000,1.13,"2016-2017","1st","$27,000",NA,NA,NA,NA,"biomed"
"7654","University of Pennsylvania","Chemistry",30000,1.24,"2018-2019","1st","$30,000",NA,NA,NA,NA,"chemistry"
"7655","University of Delaware (UD)","Psychology",19300,0.76,"2018-2019","1st",NA,"$20,000",NA,"$700",NA,"psychology"
"7656","Ohio State University (OSU)","Biomedical Sciences Graduate Program",29300,1.46,"2019-2020","1st","$29,300",NA,NA,NA,NA,"biomed"
"7657","University of North Carolina - Chapel Hill (UNC)","Chemistry",26037,1.17,"2019-2020","1st","$28,000",NA,NA,"$1,963",NA,"chemistry"
"7658","Indiana University","Music/Ph.D Music Theory",18000,0.83,"2018-2019","1st",NA,"$18,000",NA,NA,"Because part of my fellowship is paid monthly as part of a teaching stipend and part comes to me at the beginning of each term, the portion I receive monthly is heavily taxed","music"
"7659","University of North Texas (UNT)","Marketing",17000,0.79,"2018-2019","2nd","$20,000",NA,NA,"$3,000",NA,"marketing"
"7660","Massachusetts Institute of Technology (MIT)","Brain and Cognitive Science",38242,1.37,"2018-2019","1st","$38,242",NA,NA,NA,"stipend covers full 12 months. tuition and self health insurance covered.","brain and cognitive science"
"7661","Pennsylvania State University (Penn State)","Political Science",29400,1.31,"2018-2019","1st",NA,"$26,150","$3,250",NA,NA,"political science"
"7662","Massachusetts Institute of Technology (MIT)","political science",35000,1.25,"2019-2020","1st",NA,"$29,000","$6,000",NA,NA,"political science"
"7663","University of North Carolina - Chapel Hill (UNC)","Physics",34000,1.53,"2018-2019","1st","$34,000",NA,NA,NA,NA,"physics"
"7664","Vanderbilt University","Philosophy",29500,1.28,"2019-2020","1st","$30,000",NA,NA,"$500",NA,"philosophy"
"7665","University of California - Los Angeles (UCLA)","Human Genetics",33000,1.28,"2018-2019","4th","$33,000",NA,NA,NA,NA,"human development"
"7666","University of Miami (UM)","Program in the Biomedical Sciences",30000,1.26,"2019-2020","1st","$30,000",NA,NA,NA,NA,"biomed"
"7667","Drexel University (DU)","Physics",23500,0.97,"2018-2019","3rd","$23,500",NA,NA,NA,"Drexel guarantees the physics graduate students 6 years of funding as a teaching assistant, including tuition, health insurance, and the $23,500 stipend. Cost of living in the city is expensive, so this is just barely enough to live on, especially if you live alone.","physics"
"7668","Johns Hopkins University (JHU)","Materials Science & Engineering",31500,1.22,"2019-2020","1st","$31,500",NA,NA,NA,NA,"material science"
"7669","Ohio State University (OSU)","Biomedical Sciences Graduate Program",28500,1.42,"2018-2019","3rd","$28,500",NA,NA,NA,NA,"biomed"
"7670","University of Pittsburgh","History",18500,0.89,"2017-2018","6th and up","$18,500",NA,NA,NA,NA,"history"
"7671","Utah State University (USU)","Mathematics and Statistics/Mathematical Sciences",21200,1.02,"2019-2020","1st",NA,"$19,000","$3,300","$1,100",NA,"mathematics"
"7672","University of Nebraska - Lincoln (NU)","Natural resources",28500,1.46,"2018-2019","1st","$30,000",NA,NA,"$1,500",NA,"natural resources"
"7673","University of California - San Diego (UCSD)","Anthropology",22000,0.83,"2018-2019","4th",NA,"$22,000",NA,NA,NA,"anthropology"
"7674","CUNY Graduate School and University Center","English",28128,0.95,"2019-2020",NA,NA,"$26,128","$2,000",NA,NA,"english"
"7675","University of Alabama (UA)","chemistry",24480,1.17,"2018-2019","1st","$24,480",NA,NA,NA,NA,"chemistry"
"7676","University of California - Irvine (UCI)","PhD in Management",28000,0.96,"2019-2020",NA,NA,"$28,000",NA,NA,NA,"management"
"7677","Cornell University (CU)","Management & Organizations",37600,1.55,"2019-2020","1st","$37,600",NA,NA,NA,"Insurance and fee waiver included.","management"
"7678","University of California - Los Angeles (UCLA)","Sociology",28000,1.08,"2019-2020","1st","$28,000",NA,NA,NA,"24k for academic year, 4k-6k for summer funding depending on award. Fellowship years 1 and 5, TA/RA other years.","sociology"
"7679","University of Iowa (UI)","Higher Education and Student Affairs",20000,0.9,"2019-2020","1st",NA,"$20,000",NA,NA,NA,"education"
"7680","Colorado State University (CSU)","Bioagricultural science and pest management",22000,0.98,"2018-2019","1st","$22,000",NA,NA,NA,NA,"algruiculture"
"7681","Colorado School of Mines","Mechanical Engineering",30000,1.34,"2019-2020","1st","$30,000",NA,NA,NA,NA,"mechanical engineering"
"7682","Vanderbilt University","Political Science",30000,1.31,"2018-2019","1st",NA,"$27,000","$3,000",NA,"9-month stipend $27,000, additional RA for three summer-months, approximately $1,000/month. Ignore my last post","political science"
"7683","Vanderbilt University","Political Sciencce",30000,1.31,"2018-2019","1st",NA,"$27,000","$3,000",NA,"Additional RA for three summer-months, approximately $1,000 a month","political science"
"7684","Florida State University (FSU)","Chemistry",23000,0.99,"2019-2020","1st","$25,000",NA,NA,"$2,000",NA,"chemistry"
"7685","Drexel University (DU)","Biodiversity, Earth & Environmental Sciences",23500,0.97,"2018-2019","3rd","$23,500",NA,NA,NA,"Free tuition and health care","environment"
"7686","University of Maryland - Baltimore (UMB)","Program in Neuroscience",29000,1.13,"2019-2020","3rd","$29,000",NA,NA,NA,"Stipend rises from $28,000 to $29,000 after reaching candidacy in the second year. Students are responsible for fees each semester prior to joining a lab (typically by fall 2nd year), after which the PI pays these fees (~$500-$900 depending on number of credits).","neuroscience"
"7687","University of Rochester (UR)","Micriobiology immunology and Virology",28947,1.35,"2018-2019","3rd","$28,947",NA,NA,NA,"Health insurance included","biology"
"7688","New York University (NYU)","Media, Culture, and Communication",25000,0.84,"2018-2019","1st","$25,000",NA,NA,NA,"Additional funding available by teaching courses at $137.50 per contact hour.  Healthcare for first 4 years is included. 
","film and media"
"7689","Washington State University (WSU)","School of Biological Sciences",14000,0.74,"2018-2019","1st",NA,"$16,000",NA,"$2,000",NA,"biology"
"7690","University of Pittsburgh","Epidemiology",23160,1.12,"2019-2020","1st","$23,160",NA,NA,NA,NA,"epidemiology"
"7691","Duke University (DU)","Marine Science and Conservation",32000,1.44,"2018-2019","5th","$32,000",NA,NA,NA,NA,"marine sciences"
"7692","Texas Tech University (TTU)","Department of Biological Sciences",18959,0.94,"2018-2019","1st",NA,"$16,006","$3,556","$603","Required fees represent fees that are not covered by TTU TA exemptions","biology"
"7693","Northwestern University (NU)","Chemistry",36000,1.48,"2018-2019","4th","$36,000",NA,NA,NA,"NSF GRFP Fellowship base + additional bump from department. No required fees only because fees are paid by NSF.","chemistry"
"7694","University of North Dakota (ND)","English",17900,0.93,"2018-2019","1st",NA,"$18,500",NA,"$600",NA,"english"
"7695","University of Arizona (U of A)","English",16433,0.79,"2018-2019","1st",NA,"$17,100",NA,"$667",NA,"english"
"7696","Washington University in St. Louis (Wash U)","Department of biology and biomedical sciences",30000,1.45,"2019-2020",NA,"$30,000",NA,NA,NA,NA,"biology"
"7697","Boston University (BU)","Earth and Environment",33000,1.15,"2018-2019","2nd","$33,000",NA,NA,NA,"In Boston this salary means you are living with roommates.","environment"
"7698","Massachusetts Institute of Technology (MIT)","History/Anthro/Science, Technology and Society",34368,1.23,"2017-2018","1st",NA,"$28,242","$6,276","$150","We are funded for 2 out 3 summer months; student-workers are left to find their own funding for the 3rd month. *Usually* everyone finds a fellowship, RAship, or job, but not always. 

Pay for 1st year is a university fellowship. For all other years, it is a combination of TAships and fellowships. We are guaranteed 5 years funding. Many outside fellowships we win count against stipend funds (excepting those for specifics like research travel). Given Boston's high cost of living and my student loan payments from undergrad, I often end up relying on a credit line between paydays.","history"
"7699","Northeastern University (NU)","English",21300,0.74,"2018-2019","2nd",NA,"$21,500",NA,"$200","health insurance with a $200 deductible; sometimes costlier fees; some opportunities for summer work; some accepted students negotiated for additional compensation and guaranteed summer funding; tuition is covered","english"
"7700","Northeastern University (NU)","English PhD",20680,0.72,"2018-2019","4th",NA,"$21,000",NA,"$320",NA,"english"
"7701","Indiana University","Gender studies",13350,0.62,"2018-2019","1st",NA,"$15,750",NA,"$2,400",NA,"gender studies"
"7702","University of Notre Dame (ND)","English",23000,1.12,"2019-2020","1st","$23,000",NA,NA,NA,NA,"english"
"7703","University of South Carolina (USC)","English",12500,0.55,"2018-2019","2nd",NA,"$12,500",NA,NA,NA,"english"
"7704","Texas A&amp;M; University - College Station","English",13500,NA,"2019-2020","1st",NA,"$13,500",NA,NA,NA,"english"
"7705","Brandeis University","English",23912,0.86,"2018-2019","2nd",NA,"$24,000",NA,"$88",NA,"english"
"7706","Arizona State University (ASU)","Management",28000,1.26,"2018-2019","1st","$30,000",NA,NA,"$2,000","-$2,000 is first-year only fellowship
-$2,000 summer support only applies to 1st and 2nd years","management"
"7707","Arizona State University (ASU)","Business Administration (Management)",28000,1.26,"2018-2019","1st","$30,000",NA,NA,"$2,000",NA,"business"
"7708","University of Maryland - College Park (UMD)","English",19200,0.63,"2018-2019","3rd",NA,"$20,000",NA,"$800",NA,"english"
"7709","University of Maryland - College Park (UMD)","School of Public Health",18118,0.6,"2018-2019","3rd",NA,"$18,818",NA,"$700","Other schools offer $4-6k more","health"
"7710","University of Minnesota - Twin Cities (UM)","Psychology",24000,1.05,"2019-2020","1st",NA,"$20,000","$4,000",NA,NA,"psychology"
"7711","University of Georgia (UGA)","Crop and Soil Sciences",23500,1.11,"2018-2019","1st","$25,000",NA,NA,"$1,500","My stipend is for an 'assistantship' but is fully funded by the department because I was awarded an incoming student scholarship through the department.","algruiculture"
"7712","Texas A&amp;M; University - College Station","Chemical Engineering",25600,NA,"2019-2020","1st","$27,600",NA,NA,"$2,000",NA,"chemistry"
"7713","University of Illinois - Urbana- Champaign (UIUC)","Sociology",16280,0.74,"2019-2020","1st",NA,"$17,480",NA,"$1,200",NA,"sociology"
"7714","Syracuse University","Sociology",21000,0.98,"2018-2019",NA,NA,"$21,000",NA,NA,NA,"sociology"
"7715","University of Southern California (USC)","PIBBS",34000,1.31,"2018-2019","1st","$34,000",NA,NA,NA,NA,"pibbs"
"7716","University of California - Los Angeles (UCLA)","World Arts and Cultures/Dance",24941,0.96,"2018-2019","6th and up",NA,"$24,941",NA,NA,"Pay reflects a 50% TAship for someone ABD. Not guaranteed, generally not given assignment until a few weeks before start of quarter, and then sometimes only 25% work.","world arts and cultures/dance"
"7717","University of Southern California (USC)","PIBBS",34000,1.31,"2018-2019","1st","$34,000",NA,NA,NA,NA,"pibbs"
"7718","University of Southern California (USC)","PIBBS",33000,1.28,"2018-2019","1st","$33,000",NA,NA,NA,NA,"pibbs"
"7719","University of California - Berkeley","Chemistry",34000,1.22,"2019-2020","1st","$34,000",NA,NA,NA,NA,"chemistry"
"7720","University of Southern California (USC)","Biostatistics",35000,1.35,"2018-2019","1st","$35,000",NA,NA,NA,"including all health insurance","statistics"
"7721","Emory University","Religion",31000,1.33,"2018-2019","2nd","$31,000",NA,NA,NA,NA,"religious studies"
"7722","University of Southern California (USC)","Biostatistics",34000,1.31,"2018-2019","4th","$34,000",NA,NA,NA,"including health insurance, dental, vision. Fellowship for the first year.","statistics"
"7723","University of Missouri (MU)","Computer Science",30000,1.46,"2019-2020","1st","$30,000",NA,NA,NA,NA,"computer science"
"7724","University of Virginia (UVA)","Curry School of Education",27000,1.18,"2018-2019","2nd",NA,"$27,000",NA,NA,"Healthcare and tuition are cover.","education"
"7725","University of Missouri (MU)","Computer Science",30000,1.46,"2019-2020","1st","$30,000",NA,NA,NA,NA,"computer science"
