"","University","Department","Overall Pay","LW Ratio","Academic Year","Program Year","12 M Gross Pay","9 M Gross Pay","3 M Gross Pay","Fees","Comments","dept"
"733","University of Missouri (MU)","Molecular microbiology and immunology",29000,1.41,"2022-2023","4th","$30,000",NA,NA,"$1,000","Medical insurance covered, course fees and dental insurance are not","biology"
"734","University of Utah","Political Science",19000,0.85,"2022-2023","1st",NA,"$20,000",NA,"$1,000",NA,"political science"
"735","University of Utah","Health and kinesiology",17700,0.79,"2022-2023","1st",NA,"$17,700",NA,NA,NA,"health"
"736","University of Cincinnati (UC)","Environmental and Public Health Sciences",25800,1.34,"2022-2023","3rd","$26,352",NA,NA,"$552",NA,"environment"
"737","University of South Florida (UCF)","Geosciences",17080,0.78,"2022-2023","5th",NA,"$17,900",NA,"$820",NA,"geoscience"
"738","Clemson University (CU)","Animal and Veterinary Sciences (MS)",15300,0.73,"2022-2023","1st","$17,000",NA,NA,"$1,700","Need to pay $1700 in health insurance for spring& summer, and $1400 in the fall","animal science"
"739","Clemson University (CU)","Chemistry",23600,1.13,"2022-2023","3rd","$27,000",NA,NA,"$3,400","Health insurance subsidized but not included.
","chemistry"
"740","University of Arizona (U of A)","Gender and Women's Studies",20400,0.98,"2022-2023","1st","$23,000",NA,NA,"$2,600",NA,"gender studies"
"741","Oregon Health and Science University","Biomedical Sciences",32068,1.37,"2022-2023","1st","$32,068",NA,NA,NA,NA,"biomed"
"742","North Carolina State University (NCSU)","Animal science",16800,0.74,"2022-2023","2nd","$18,000",NA,NA,"$1,200",NA,"animal science"
"743","University of Cincinnati (UC)","Criminal Justice",16170,0.84,"2022-2023","1st",NA,"$17,000",NA,"$830",NA,"criminology"
"744","Florida International University (FIU)","Biology",23400,0.98,"2022-2023","6th and up","$25,000",NA,NA,"$1,600",NA,"biology"
"745","Washington State University (WSU)","School of Biological Sciences",15600,0.82,"2022-2023","5th",NA,"$17,600",NA,"$2,000",NA,"biology"
"746","Tulane University (TU)","Epidemiology",28000,1.22,"2022-2023","1st","$28,000",NA,NA,NA,NA,"epidemiology"
"747","Northwestern University (NU)","ECE",35196,1.45,"2022-2023","5th","$35,196",NA,NA,NA,NA,"electrical engineering"
"748","University of California - Berkeley","Mathematics",29000,1.04,"2020-2021","1st",NA,"$29,000",NA,NA,NA,"mathematics"
"749","University of Illinois - Urbana- Champaign (UIUC)","Psychology",18350,0.83,"2022-2023","5th",NA,"$19,000",NA,"$650",NA,"psychology"
"750","Northwestern University (NU)","School of Education and Social Policy",34500,1.42,"2022-2023","2nd","$34,500",NA,NA,NA,NA,"education"
"751","University of Texas - Dallas (UTD)","physics",28800,1.34,"2022-2023","3rd","$28,800",NA,NA,NA,NA,"physics"
"752","Johns Hopkins University (JHU)","International Health",32000,1.24,"2022-2023","4th","$32,000",NA,NA,NA,NA,"health"
"753","University of California - Berkeley","Mechanical Engineering",36500,1.31,"2022-2023","1st",NA,"$36,500",NA,NA,NA,"mechanical engineering"
"754","Massachusetts Institute of Technology (MIT)","MIT Media Lab",47436,1.7,"2022-2023","3rd","$47,436",NA,NA,NA,"Income goes up from $39k to $47k after you enter the PhD. All students have guaranteed RA funding.","film and media"
"755","University of Central Florida (UCF)","Environmental Engineering",19000,0.82,"2022-2023","1st","$19,000",NA,NA,NA,"Not enough to survive in Orlando","environment"
"756","Florida State University (FSU)","Physics",25550,1.1,"2022-2023",NA,"$25,550",NA,NA,NA,NA,"physics"
"757","Colorado School of Mines","Physics",30000,1.34,"2022-2023","1st","$30,000",NA,NA,NA,"TA compensation, moving into an RA at the same rate. Grad student government is currently working to try and get the minimum of about $27k increased campus wide since the school is located in a mid-high COL area. It's impossible to live alone with this pay, but we are able to stay out of debt when living frugally in lower cost surrounding suburbs of Denver with at least one roommate.","physics"
"758","University of Wisconsin - Madison (UW)","Chemistry",31244,1.37,"2022-2023","1st","$31,244",NA,NA,NA,NA,"chemistry"
"759","Binghamton University - SUNY","System Science and Industrial Engineering",22770,1.1,"2022-2023",NA,"$23,000",NA,NA,"$230",NA,"industrial engineering"
"760","University of Wisconsin - Milwaukee (UWM)","Chemistry",13750,0.64,"2022-2023","2nd",NA,"$13,750",NA,NA,NA,"chemistry"
"761","Georgia State University (GSU)","History",12500,0.54,"2022-2023","1st","$12,650",NA,NA,"$150","Pay is ~$650 a month before taxes. After taxes its $520","history"
"762","University of Illinois - Urbana- Champaign (UIUC)","Civil & Environmental Engineering",23910,1.09,"2022-2023","3rd","$25,410",NA,NA,"$1,500","Fees include health insurance costs","environment"
"763","Cornell University (CU)","Biological and Environmental Engineering",32950,1.36,"2017-2018","4th","$33,000",NA,NA,"$50","Includes health insurance","environment"
"764","San Diego State University (SDSU)","Mechanical Engineering",21376,0.81,"2021-2022","2nd","$23,376",NA,NA,"$2,000",NA,"mechanical engineering"
"765","University of Texas - Austin (UT)","Chemical Engineering",35000,1.53,"2022-2023","1st","$35,000",NA,NA,NA,"Health insurance, dental insurance, and vision insurance are provided by the University.","chemistry"
"766","University of Wisconsin - Madison (UW)","Human Ecology",21115,0.92,"2022-2023","2nd",NA,"$21,115",NA,NA,NA,"human development"
"767","Yale University (YU)","MCDB",43000,1.74,"2022-2023",NA,"$43,000",NA,NA,NA,NA,"mcdb"
"768","Texas A&amp;M; University - College Station","Industrial and Systems Engineering",27000,NA,"2022-2023","2nd","$27,000",NA,NA,NA,NA,"industrial engineering"
"769","University of Maryland - College Park (UMD)","Chemical and Biomolecular Engineering",41499,1.37,"2022-2023","5th","$42,124",NA,NA,"$625","This considers required fees, pay increases upon passing quals, and advancing to candidacy, and cost of living adjustments based on the Maryland State government. Up-to-date stipends based on step level can be found at https://clarknet.eng.umd.edu/content/personnel-and-payroll under salary scales.","biology"
"770","Edith Cowan University","School of Medical and Health Sciences",28800,NA,"2022-2023",NA,"$28,800",NA,NA,NA,"Shit University and Shit Stipend. I would not recommend anyone to come and do  a PhD here and generally, in Australia. Cost of living in Australia is high and PhD stipends here are  extremely low and they do not reflect the cost of living. Australia will pay the price for this stupidity","health"
"771","Indiana University","Classics",22000,1.02,"2022-2023","2nd","$22,000",NA,NA,NA,"We are actually paid across 10 months, but there was no option for that. Since last year, there aren't any additional fees we have to pay, unless you want to take a class which requires an admin fee.","classical studies"
"772","George Mason University (GMU)","Environmental Science and Policy",16870,0.56,"2022-2023","2nd",NA,"$16,870",NA,NA,"Masters stipend for out of state students","environment"
"773","University of California - Berkeley","Nuclear Engineering",43300,1.56,"2022-2023","4th","$43,300",NA,NA,NA,"Post candidacy","physics"
"774","Southern Methodist University (SMU)","Chemistry",25000,1.16,"2022-2023","4th","$25,000",NA,NA,NA,NA,"chemistry"
"775","Maynooth University","Microbiology",18500,NA,"2022-2023","1st","$18,500",NA,NA,NA,NA,"biology"
"776","Rutgers the State University of New Jersey - New Brunswick","kinesiology",35200,1.36,"2022-2023","2nd",NA,"$30,200","$5,000",NA,NA,"kinesiology"
"777","University of California - Davis (UCD)","English",24984,1.04,"2022-2023","3rd",NA,"$24,984",NA,NA,"I've received summer fellowships of about 5k. Universal funding ranges from 2k-5k depending on milestones.","english"
"778","Colorado State University (CSU)","Industrial Organizational Psychology",20500,0.91,"2022-2023","3rd","$22,000",NA,NA,"$1,500","On research funding. GTA is around $18000/year","psychology"
"779","Ohio State University (OSU)","Engineering Education",28000,1.4,"2022-2023","1st","$30,000",NA,NA,"$2,000",NA,"education"
"780","University of Pennsylvania","Pharmacology",37000,1.53,"2022-2023","2nd","$37,000",NA,NA,NA,NA,"pharmaceutical science"
"781","Purdue University - West Lafayette","Chemistry",29500,1.39,"2022-2023",NA,"$29,500",NA,NA,NA,NA,"chemistry"
"782","Northeastern University (NU)","Mechanical Engineering",39000,1.36,"2022-2023","1st","$40,000",NA,NA,"$1,000",NA,"mechanical engineering"
"783",NA,"Mathematical Computational And Systems Biology",34500,NA,"2020-2021","4th","$34,500",NA,NA,NA,"The cost of living in Irvine is extremely high. UCI provides graduate housing at a subsidized rate. With subsidized housing, I was able to survive with my stipend, with minimal money spent on recreation and barely any savings.","biology"
"784","University of California - Irvine (UCI)","Mathematical Computational And Systems Biology",34500,1.18,"2020-2021","4th","$34,500",NA,NA,NA,NA,"biology"
"785","University of California - Davis (UCD)","Ecology",20700,0.86,"2022-2023","4th",NA,"$20,700",NA,NA,NA,"ecology"
"786","University of California - Irvine (UCI)","Cellular and Molecular Bioscinces",35000,1.2,"2022-2023","1st",NA,"$35,000",NA,NA,NA,"biology"
"787","Vanderbilt University","Interdisciplinary Graduate Program",37500,1.63,"2022-2023","1st","$37,500",NA,NA,NA,"2500 comes from a merit scholarship awarded through the graduate school.","interdisciplinary graduate program"
"788","Colorado School  of Mines","Applied Mathematics",34000,NA,"2022-2023","1st","$34,000",NA,NA,NA,NA,"mathematics"
"789","University of California - San Diego (UCSD)","Philosophy",24000,0.91,"2022-2023","4th",NA,"$24,000",NA,NA,NA,"philosophy"
"790","Syracuse University","Biology",31819,1.49,"2022-2023","3rd",NA,"$28,369","$3,500","$50",NA,"biology"
"791","Carnegie Mellon University (CMU)","Computational Biology",38400,1.86,"2022-2023","2nd","$38,400",NA,NA,NA,NA,"biology"
"792","Harvard University (HU)","Statistics",33850,1.18,"2022-2023","1st","$33,850",NA,NA,NA,NA,"statistics"
"793","University of Maryland - Baltimore (UMB)","GPILS-Molecular Medicine",31000,1.21,"2022-2023","5th","$31,000",NA,NA,NA,NA,"biology"
"794","University of California - Berkeley","physics",42500,1.53,"2022-2023","1st","$42,500",NA,NA,NA,NA,"physics"
"795","Johns Hopkins University (JHU)","Modern languages",33000,1.28,"2022-2023","2nd","$33,000",NA,NA,NA,NA,"language"
"796","Johns Hopkins University (JHU)","History",33000,1.28,"2022-2023","2nd","$33,000",NA,NA,NA,NA,"history"
"797","University of California - Santa Barbara (UCSB)","Materials",34000,1.29,"2022-2023","2nd","$34,000",NA,NA,NA,NA,"material science"
"798","University of California - San Diego (UCSD)","Bioinformatics and System Biology",35000,1.32,"2022-2023",NA,"$35,000",NA,NA,NA,NA,"biology"
"799","California Polytechnic University, San Luis Obispo","Mathematics",13000,NA,"2021-2022","1st",NA,"$13,000",NA,NA,"Teaching two 4-unit classes","mathematics"
"800","Pennsylvania State University (Penn State)","Criminology",33500,1.49,"2022-2023","1st","$33,500",NA,NA,NA,"University Graduate Fellowship","criminology"
"801","Cornell University (CU)","Music Composition",36500,1.51,"2022-2023",NA,"$36,600",NA,NA,"$100",NA,"music"
"802","University of Virginia (UVA)","Biology",30500,1.34,"2022-2023","4th","$30,500",NA,NA,NA,NA,"biology"
"803","University of California - Berkeley","Health Policy",28000,1.01,"2021-2022","1st","$28,000",NA,NA,NA,NA,"health"
"804","University of California - Los Angeles (UCLA)","Neuroscience",42500,1.64,"2022-2023","2nd","$42,500",NA,NA,NA,"My PI pays me additional wages on top of the $37,500 base stipend.","neuroscience"
"805","Rutgers the State University of New Jersey - New Brunswick","Political Science",25000,0.97,"2022-2023",NA,NA,"$25,000",NA,NA,NA,"political science"
"806","University of California - San Diego (UCSD)","Linguistics",23000,0.87,"2018-2019","1st",NA,"$23,000",NA,NA,NA,"linguistics"
"807","Florida State University (FSU)","PhD Music Theory",15997,0.69,"2022-2023","3rd",NA,"$15,997",NA,NA,"Fees change based on the number of credit hours you are enrolled in, and most students do not receive a fee waiver. Health insurance can be partially subsidized by the University but you must opt into this program. Your teaching load is 2-2 with this funding.","music"
"808","University of Delaware (UD)","Physics and Astronomy",27850,1.1,"2022-2023","3rd",NA,"$21,590","$7,060","$800",NA,"physics"
"809","Purdue University - West Lafayette","MCMP",28000,1.32,"2022-2023","1st","$28,000",NA,NA,NA,NA,"mcmp"
"810","Texas A&amp;M; University - College Station","Statistics",28111,NA,"2022-2023","2nd",NA,"$22,000","$6,111",NA,"New mandate increasing 9mo minimum stipend to $22,222.22 for College of Arts and Sciences starting January 2023","statistics"
"811","University of California - San Diego (UCSD)","bioengineering",36000,1.36,"2022-2023","5th","$36,000",NA,NA,NA,NA,"biology"
"812","University of Nevada - Las Vegas (UNLV)","Sociology",16000,0.7,"2022-2023","4th",NA,"$16,500",NA,"$500",NA,"sociology"
"813","University of Oregon (UO)","History",16470,0.78,"2022-2023","4th",NA,"$16,650",NA,"$180",NA,"history"
"814","University of Georgia (UGA)","Warnell School of Forestry",27532,1.3,"2022-2023","1st","$28,247",NA,NA,"$715",NA,"warnell school of forestry"
"815","University of North Carolina - Chapel Hill (UNC)","Political Science",20000,0.9,"2022-2023","5th",NA,"$20,000",NA,NA,NA,"political science"
"816","University of California - Berkeley","Political Science",36000,1.3,"2022-2023","3rd",NA,"$30,000","$6,000",NA,NA,"political science"
"817","Princeton University","Mechanical and Aerospace Engineering",45000,1.77,"2022-2023","2nd","$48,000",NA,NA,"$3,000","Fees are for mandatory insurance","mechanical engineering"
"818","Brigham Young University (BYU)","Chemistry",29000,1.4,"2022-2023","2nd","$29,000",NA,NA,NA,"I get pay to be a TA, if I do research with someone else from BYU. They pay for my stipend but my pay does not change, I am assuming they are only required to pay me enough to match my regular pay. I live with family, but pay $500 for rent. We get paid twice a month and after tax in a month I get almost 2K. No debt, we do have to pay for insurance if we do not have it. I pay $340 per semester. Something I did not mention is I got a two-year award in the amount of $8,000 and is distributed in four equal payments of $2,000. I got this award when I got accepted to BYU.","chemistry"
"819","University of California - Davis (UCD)","Political Science",25400,1.06,"2022-2023","6th and up",NA,"$22,000","$4,000","$600",NA,"political science"
"820","The Catholic University of America","Clinical Psychology PhD",18600,0.6,"2022-2023","1st",NA,"$20,000",NA,"$1,400",NA,"psychology"
"821","University of Minnesota - Twin Cities (UM)","Natural Resource Science and Management",23053,1.01,"2022-2023","2nd","$25,053",NA,NA,"$2,000",NA,"management"
